bins,alert,Eureka,CB
58,1.4757302457769558e-17,2.109039617427533e-17,4.657047378564539e-17
59,1.511244389212907e-17,2.1014215566446393e-17,4.886816188064136e-17
60,1.500897586774637e-17,2.1041146793573246e-17,4.588046044230743e-17
61,1.4879275028875303e-17,2.0860328262505005e-17,4.7498819717023413e-17
62,1.4738196750649013e-17,2.1399500927700435e-17,4.957197737610886e-17
63,1.5015256002361838e-17,2.166055046654361e-17,4.846656909765491e-17
64,1.5300311547805992e-17,2.1082225673194066e-17,4.858387939662978e-17
65,1.5022585695854616e-17,2.1071504370702434e-17,5.1199927028969255e-17
66,1.5024751742883856e-17,2.1211126492465956e-17,5.1317617486348896e-17
67,1.4998808432363165e-17,2.1636626707736278e-17,5.117431677928441e-17
68,1.4893960180797917e-17,2.115838061448813e-17,5.150637648505818e-17
69,1.4886032319695942e-17,2.1399416499923165e-17,5.1024534370586186e-17
70,1.5208033770329477e-17,2.1671246472430154e-17,5.0783241790572363e-17
71,1.4977564859576867e-17,2.1467471457339156e-17,4.8930595746010663e-17
72,1.500974934212987e-17,2.124906095697654e-17,5.24653016822918e-17
73,1.4956754722369667e-17,2.0918282256886243e-17,5.0680351153936663e-17
74,1.4998277464125033e-17,2.1968921075712914e-17,5.072963210860093e-17
75,1.525568803172582e-17,2.1541484149061043e-17,5.1509842541319636e-17
76,1.520295299832844e-17,2.16992954689757e-17,5.45393455640697e-17
77,1.517945888438246e-17,2.1573658386380568e-17,5.373914391225421e-17
78,1.5264964056075496e-17,2.1493233589176683e-17,5.4588626518733976e-17
79,1.5110000236564712e-17,2.1466989863754702e-17,5.21972760510886e-17
80,1.5279277290917643e-17,2.225281365651061e-17,5.5360541610996465e-17
81,1.5070743881627145e-17,2.2026532215183027e-17,5.5281108249719e-17
82,1.531921570091868e-17,2.2433213305896035e-17,5.277949922111169e-17
83,1.5295212031554013e-17,2.2039231362038644e-17,5.761798636434724e-17
84,1.5664035463635805e-17,2.24946798699395e-17,5.58996261924849e-17
85,1.5439940123044422e-17,2.2693442709633556e-17,5.7422532234383e-17
86,1.5490493022671247e-17,2.3122477207405954e-17,5.679824657649213e-17
87,1.5517299197269006e-17,2.2876084140085328e-17,5.534865508138865e-17
88,1.5641754386522267e-17,2.31191466712119e-17,5.829486957563413e-17
89,1.57917134250684e-17,2.3149576557426888e-17,5.64896441460766e-17
90,1.555980420836836e-17,2.2973488266863495e-17,5.947462180071195e-17
91,1.5834289788206613e-17,2.3357116689815686e-17,5.738847795970503e-17
92,1.5747383223319383e-17,2.3150837153134564e-17,5.783698529340798e-17
93,1.5781757266254346e-17,2.324529436168246e-17,6.028000667131217e-17
94,1.5692133899973887e-17,2.3296274545645676e-17,5.911998553487231e-17
95,1.569393233221035e-17,2.2856082235438867e-17,5.863561028766896e-17
96,1.58982500297368e-17,2.355466930123798e-17,6.11980474650442e-17
97,1.6068611525090273e-17,2.347194395452626e-17,6.0067172887035e-17
98,1.5918412703090632e-17,2.3901471804879674e-17,6.234393606641131e-17
99,1.6000701451432053e-17,2.3596304009332326e-17,6.083661959165044e-17
100,1.630443050701022e-17,2.3900307022980264e-17,6.408070529241584e-17
101,1.6042558135436272e-17,2.4313526973077786e-17,6.07160566660353e-17
102,1.6116496283878623e-17,2.462304689049983e-17,6.45813888276725e-17
103,1.6183751922827297e-17,2.4177094353101953e-17,6.319437514806792e-17
104,1.6163770058487056e-17,2.4833560793597474e-17,6.61035753756617e-17
105,1.6510464038001563e-17,2.4492532427720926e-17,6.283835210264821e-17
106,1.660797504872587e-17,2.5110354362912347e-17,6.61394432891621e-17
107,1.6399149468200244e-17,2.55001893531559e-17,6.703560079292238e-17
108,1.66342390484249e-17,2.544836158590441e-17,6.820848565056159e-17
109,1.6645729525094008e-17,2.533569754374632e-17,6.780593372023025e-17
110,1.6899842258033192e-17,2.5685426805616138e-17,7.093564556234777e-17
111,1.6720438385155885e-17,2.5564945320410987e-17,6.961666122705379e-17
112,1.682567141044443e-17,2.5897464417910804e-17,7.082971572869302e-17
113,1.7171220249335984e-17,2.5928438609611886e-17,7.13461327812165e-17
114,1.7211431353183692e-17,2.6202355788134537e-17,7.288231135930966e-17
115,1.7098185155087558e-17,2.5918419912542016e-17,7.343681877915177e-17
116,1.7238509078532083e-17,2.7240802720224916e-17,7.728411653765144e-17
117,1.7448563979349104e-17,2.6829737961604067e-17,7.668711709853115e-17
118,1.7559739145557587e-17,2.7367436091895598e-17,7.903604769855799e-17
119,1.8077735920848592e-17,2.7391684707424314e-17,8.014556309512979e-17
120,1.788972924265421e-17,2.819037026036142e-17,8.441887556671912e-17
